"lang";"id";"translation"
de_DE;poard_board;"Forum"
de_DE;poard_overview;"Übersicht"
de_DE;poard_statistics;"Statistiken"
de_DE;poard_recent_articles;"Neueste Artikel"
de_DE;poard_vote;"Abstimmen"
de_DE;poard_vote_abstain;"Enthalten"
de_DE;poard_approve;"Freigeben"
de_DE;poard_approved_by;"freigegeben von"
de_DE;poard_not_approved;"noch nicht freigegeben"
de_DE;poard_answer;"Antworten"
de_DE;poard_with_quote;"mit Zitat"
de_DE;poard_articles;"Artikel";"Artikel"
de_DE;poard_fix_thread;"Thread fixieren";""
de_DE;poard_unfix_thread;"Thread lösen";""
de_DE;poard_open_thread;"Thread öffnen";""
de_DE;poard_close_thread;"Thread schliessen";""
de_DE;poard_thread;"Thread";"Threads"
de_DE;poard_answer_post;"Antwort";"Antworten"
de_DE;poard_last_answer;"Letzter Beitrag"
de_DE;poard_last_24_hours;"Letzte 24h"
de_DE;poard_7_days;"7 Tage"
de_DE;poard_my_subscriptions;"Abonnierte Threads"
de_DE;poard_hint_new_answers;"Hinweis: Neue Artikel seit Beginn der Antwort"
de_DE;poard_msg_not_approved_yet;"Noch nicht freigegeben"
de_DE;poard_msg_deleted;"gelöscht"
de_DE;poard_create_new_thread;"Neuen Thread erstellen"
de_DE;poard_create_new_survey;"Neue Umfrage erstellen"
de_DE;poard_insert_quote;"Zitat einfügen"
de_DE;poard_subtree;"Teilbaum";"Teilbäume"
de_DE;poard_mark_thread_solved;"Thread als gelöst markieren"
de_DE;poard_mark_thread_unsolved;"Thread als nicht gelöst markieren"
de_DE;poard_edited_by;"Editiert von"
de_DE;poard_move_from_to;"Verschoben von [board]%1:s[/board] nach [board]MOVE_TO[/board]"
de_DE;poard_thread_readers;"Leser";"Leser"
de_DE;poard_thread_readers_expl;"Wieviele angemeldete Benutzer haben diesen Thread gelesen"
de_DE;poard_hint_overview;"Hier findest du eine Übersicht über die Foren. Schaue gegebenfalls auch in die Liste der aktuellsten Threads:"
de_DE;poard_similar_threads;"Ähnliche Threads"
de_DE;poard_markup_help;"Formatierungshilfe"
de_DE;poard_solved;gelöst
de_DE;poard_my_articles;"Meine Artikel"
de_DE;poard_threadlist_author_when;"AutorIn / Wann"
de_DE;poard_threadlist_lastaction;"Letzte Aktion"
de_DE;poard_threadlist_last_post;"Letzter Artikel"
de_DE;poard_hint_correct_bbcode;"BBCode korrigieren"
de_DE;poard_hint_correct_bbcode_explain;"BBCode im Artikel wird z.b. bei vergessenen schließenden Tags versucht zu korrigieren"
de_DE;poard_hint_correct_urls;"URLs korrigieren"
de_DE;poard_hint_correct_urls_explain;"Interne URLs werden soweit möglich in die entsprechenden BBCode-Tags mit portablen Links umgewandelt"
de_DE;poard_attachment;Anhang;Anhänge
de_DE;poard_post_hint;"Bitte zuerst lesen: <a href=""http://example.org/"">Hinweise</a>"
